SpectraSmart Spectrum 2.12.1.1
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2026/07/22 16:43:04
Spectro-Module Model Name :,EE2063-VNIR
Spectro-Module Serial Number :,OS361AC55037329
Wavelength Start :,350
Wavelength End :,1020
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity
MB Temperature(°C) :,35.74 °C
TEC Temperature(°C) :,0.00 °C
-----------Spectrum Setting ------------
Integration Time :,2000ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
Baseline correction :, disabled
---------------BEGIN--------------------
743.61,       19249.18
743.95,       19195.44
744.29,       18955.94
744.63,       18830.11
744.97,       18750.25
745.31,       18712.96
745.65,       18699.61
745.99,       18682.76
746.33,       18657.21
746.67,       18631.06
747.01,       18617.73
747.35,       18635.78
747.69,        18685.9
748.03,       18754.68
748.37,       18822.67
748.71,       18861.83
749.05,        18861.9
749.39,       18829.74
749.73,        18776.7
750.07,       18706.65
750.41,       18651.14
750.75,        18585.4
751.09,       18509.43
751.43,       18408.22
751.77,       18283.88
752.11,       18153.62
752.45,       18033.48
752.79,       17938.09
753.12,       17872.59
753.46,       17860.44
753.80,       17848.19
754.14,       17875.39
754.48,       17915.91
754.82,       17977.33
755.16,       18032.49
755.50,       18008.49
755.84,       17912.55
756.18,       17828.66
756.51,       17760.24
